862,"42,849",12,,5
863,"42,849",5,12,
864,"42,849",,4,2
865,"42,850",7,,8
866,"42,850",,6,2
867,"42,850",2,3,
868,"42,851",1,,6
869,"42,851",,2,3
870,"42,851",7,4,
871,"42,852",8,7,
872,"42,852",8,,4
873,"42,852",,7,5
874,"42,853",,10,4
875,"42,853",5,4,
876,"42,853",9,,5
877,"42,856",,8,2
878,"42,856",6,8,
879,"42,856",1,,6
880,"42,857",3,,4
881,"42,857",,2,4
882,"42,857",6,7,
883,"42,858",6,10,
884,"42,858",,3,5
885,"42,858",8,,2
886,"42,859",,4,2
887,"42,859",5,8,
888,"42,859",6,,4
889,"42,860",9,,6
890,"42,860",7,2,
891,"42,860",,9,7
892,"42,863",,7,3
893,"42,863",2,3,
894,"42,863",3,,5
895,"42,864",5,,3
896,"42,864",4,5,
897,"42,864",,7,3
898,"42,865",4,,5
899,"42,865",,6,5
900,"42,865",2,3,
901,"42,866",7,,2
902,"42,866",5,3,
903,"42,866",,10,6
904,"42,867",,6,3
905,"42,867",6,5,
906,"42,867",7,,5
907,"42,870",,6,5
908,"42,870",7,8,
909,"42,870",5,,4
910,"42,871",4,,5
911,"42,871",,8,3
912,"42,871",5,8,
913,"42,872",3,,2
914,"42,872",3,8,
915,"42,872",,2,8
916,"42,873",4,8,
917,"42,873",,9,6
918,"42,873",6,,4
919,"42,874",7,,6
920,"42,874",3,9,
921,"42,874",,5,2
922,"42,877",4,,6
923,"42,877",,10,4
924,"42,877",3,4,
925,"42,878",6,,7
926,"42,878",,5,3
927,"42,878",5,6,
928,"42,879",6,,2
929,"42,879",5,6,
930,"42,879",,6,8
931,"42,880",6,8,
932,"42,880",,4,3
933,"42,880",8,,7
934,"42,881",2,,3
935,"42,881",,9,5
936,"42,881",3,6,
937,"42,884",5,,6
938,"42,884",,5,7
939,"42,884",5,1,
940,"42,885",6,9,
941,"42,885",,8,3
942,"42,885",5,,4
943,"42,886",8,,6
944,"42,886",6,5,
945,"42,886",,6,5
946,"42,887",,5,2
947,"42,887",3,4,
948,"42,887",6,,5
949,"42,888",4,,3
950,"42,888",4,2,
951,"42,888",,8,7
952,"42,891",,7,4
953,"42,891",3,5,
954,"42,891",4,,8
955,"42,892",6,,1
956,"42,892",5,4,
957,"42,892",,4,1
958,"42,893",,8,4
959,"42,893",3,6,
960,"42,893",0,,4
961,"42,894",3,,5
962,"42,894",,8,6
963,"42,894",1,5,
964,"42,895",8,,6
965,"42,895",7,4,
966,"42,895",,5,7
967,"42,898",,4,9
968,"42,898",6,,1
969,"42,898",4,6,
970,"42,899",6,,5
971,"42,899",6,7,
972,"42,899",,7,3
973,"42,900",5,,3
974,"42,900",9,4,
975,"42,900",,5,8
976,"42,901",,11,5
977,"42,901",3,5,
978,"42,901",4,,5
979,"42,902",7,,6
980,"42,902",2,1,
981,"42,902",,4,3
982,"42,905",,4,3
983,"42,905",4,3,
984,"42,905",5,,8
985,"42,906",4,7,
986,"42,906",,5,9
987,"42,906",6,,5
988,"42,907",,1,3
989,"42,907",2,,8
990,"42,907",1,8,
991,"42,908",6,2,
992,"42,908",8,,4
993,"42,908",,7,6
994,"42,909",,6,5
995,"42,909",4,7,
996,"42,909",5,,2
997,"42,912",4,,6
998,"42,912",,8,3
999,"42,912",8,6,
1000,"42,913",,5,6
1001,"42,913",8,,7
1002,"42,913",4,9,
1003,"42,914",4,,5
1004,"42,914",,8,4
1005,"42,914",8,5,
1006,"42,915",,6,2
1007,"42,915",2,6,
1008,"42,915",3,,6
1009,"42,916",1,,4
1010,"42,916",,5,6
1011,"42,916",3,7,
1012,"42,919",1,11,
1013,"42,919",,3,8
1014,"42,919",7,,10
1015,"42,920",4,3,
1016,"42,920",10,,9
1017,"42,920",,10,5
1018,"42,921",,6,4
1019,"42,921",5,9,
1020,"42,921",5,,6
1021,"42,922",7,,10
1022,"42,922",,5,2
1023,"42,922",2,3,
1024,"42,923",7,,6
1025,"42,923",10,9,
1026,"42,923",,7,3
1027,"42,926",,10,2
1028,"42,926",3,4,
1029,"42,926",7,,6
1030,"42,927",3,,4
1031,"42,927",,6,4
1032,"42,927",4,7,
1033,"42,928",8,,3
1034,"42,928",6,5,
1035,"42,928",,9,8
1036,"42,929",,7,6
1037,"42,929",2,5,
1038,"42,929",5,,3
1039,"42,930",3,,5
1040,"42,930",,7,6
1041,"42,930",3,5,
1042,"42,933",6,,4
1043,"42,933",4,6,
1044,"42,933",,7,4
1045,"42,934",5,,3
1046,"42,934",3,0,
1047,"42,934",,8,3
1048,"42,935",,7,2
1049,"42,935",4,8,
1050,"42,935",3,,7
1051,"42,936",3,,2
1052,"42,936",7,8,
1053,"42,936",,4,7
1054,"42,937",4,5,
1055,"42,937",,6,5
1056,"42,937",5,,3
1057,"42,940",3,,7
1058,"42,940",,6,3
1059,"42,940",5,9,
1060,"42,941",6,,10
1061,"42,941",,7,2
1062,"42,941",5,6,
1063,"42,942",4,,2
1064,"42,942",6,4,
1065,"42,942",,8,4
1066,"42,943",,6,3
1067,"42,943",3,6,
1068,"42,943",3,,8
1069,"42,944",7,,8
1070,"42,944",,9,4
1071,"42,944",2,8,
1072,"42,947",6,,1
1073,"42,947",7,6,
1074,"42,947",,4,3
1075,"42,948",,8,7
1076,"42,948",5,4,
1077,"42,948",5,,4
1078,"42,949",,5,4
1079,"42,949",2,6,
1080,"42,949",12,,9
1081,"42,950",5,,2
1082,"42,950",4,3,
1083,"42,950",,5,3
1084,"42,951",,4,8
1085,"42,951",12,,4
1086,"42,951",5,3,
1087,"42,954",,3,5
1088,"42,954",10,,4
1089,"42,954",5,12,
1090,"42,955",3,,7
1091,"42,955",,8,2
1092,"42,955",7,4,
1093,"42,956",,7,9
1094,"42,956",6,,5
1095,"42,956",8,7,
1096,"42,957",,6,2
1097,"42,957",2,4,
1098,"42,957",3,,5
1099,"42,958",2,,8
1100,"42,958",,5,7
1101,"42,958",6,5,
1102,"42,961",2,4,
1103,"42,961",,1,4
1104,"42,961",4,,5
1105,"42,962",7,5,
1106,"42,962",4,,9
1107,"42,962",,10,9
1108,"42,963",7,,3
1109,"42,963",3,5,
1110,"42,963",,5,4
1111,"42,964",1,,5
1112,"42,964",,5,4
1113,"42,964",5,8,
1114,"42,965",6,,5
1115,"42,965",3,6,
1116,"42,965",,3,7
1117,"42,968",6,5,
1118,"42,968",4,,2
1119,"42,968",,8,2
1120,"42,969",,5,1
1121,"42,969",6,7,
1122,"42,969",4,,6
1123,"42,970",8,,6
1124,"42,970",5,12,
1125,"42,970",,4,11
1126,"42,971",4,8,
